"","Country","Year","CO2","GDP","Tourism","Renewable","Urban"
"123","Peru",1997,1.08987668614206,3277.9557355751,649000,31.7398884822982,71.798
"124","Peru",1998,1.08374751764182,3208.22449862094,726000,32.6922895098684,72.216
"125","Peru",1999,1.12576394474899,3203.71375707154,694000,30.6801285582867,72.631
"126","Peru",2000,1.1450044641062,3242.57915732832,8e+05,32.1550548987154,73.042
"127","Peru",2001,1.01365152092677,3221.30254730122,901000,34.8412906206058,73.448
"128","Peru",2002,1.00317959122346,3359.16268724949,1064000,34.1658514703152,73.85
"129","Peru",2003,0.963765168386378,3464.39687811052,1136000,34.8173472035779,74.249
"130","Peru",2004,1.1546235181433,3602.99972514727,1350000,32.6069789638017,74.644
"131","Peru",2005,1.33264608362585,3796.20339984392,1571000,32.731839800044,75.034
"132","Peru",2006,1.24107777025282,4047.7480360416,1721000,33.8794943076072,75.421
"133","Peru",2007,1.51608227733461,4356.73896501969,1916000,32.3720108416534,75.803
"134","Peru",2008,1.43599677155043,4716.1972623181,2058000,25.7171600310664,76.052
"135","Peru",2009,1.79576006450256,4729.73597651642,2140000,28.0608450889678,76.241
"136","Peru",2010,1.98410323886096,5082.35475666351,2299000,30.7972112804847,76.43
"137","Peru",2011,1.69601919306645,5360.2266324006,2598000,29.5472588339093,76.617
"138","Peru",2012,1.86638430452003,5642.57811515525,2846000,28.253294480277,76.804
"139","Peru",2013,1.91959048010601,5919.20956823756,3164000,25.983385316643,76.989
"140","Peru",2014,2.05198435817931,5996.49696468919,3215000,25.996864934782,77.173
"141","Paraguay",1995,0.829842429403688,3897.29279503358,438000,70.1717942056015,52.131
"142","Paraguay",1996,0.767517071661696,3868.89674627916,426000,70.7590966628391,52.774
"143","Paraguay",1997,0.839328544847042,3943.89717223549,395000,69.5208894538394,53.414
"144","Paraguay",1998,0.881601005826534,3861.79048592618,350000,67.4398156824786,54.054
"145","Paraguay",1999,0.863262024837679,3729.80015541024,269000,65.8758607424061,54.693
"146","Paraguay",2000,0.693004453523359,3570.35203561891,289000,70.4117357356936,55.331
"147","Paraguay",2001,0.703887522833431,3471.93110517993,279000,69.8404650150441,55.966
"148","Paraguay",2002,0.704636257443562,3406.23262609334,250000,67.6803201193763,56.6
"149","Paraguay",2003,0.722595825338014,3489.68104109831,268000,67.0473283724035,56.977
"150","Paraguay",2004,0.713492721203501,3569.44743813352,309000,66.7332834935053,57.305
"151","Paraguay",2005,0.657958763042367,3587.04538683713,341000,68.8240405804071,57.633
"152","Paraguay",2006,0.674088976053442,3702.82291801666,388000,67.2637625716945,57.96
"153","Paraguay",2007,0.689576784046884,3848.11898316972,416000,66.7873645381115,58.286
"154","Paraguay",2008,0.732037710382787,4037.05313652334,428000,66.6321641300776,58.612
"155","Paraguay",2009,0.740066307893676,3972.63027398075,439000,66.3928464169567,58.937
"156","Paraguay",2010,0.81579924520088,4355.93493867734,465000,64.2493759983531,59.261
"157","Paraguay",2011,0.840043757665012,4479.3989342399,524000,63.1114122330282,59.584
"158","Paraguay",2012,0.822882056437798,4394.54388141372,579000,62.6774863404168,59.907
"159","Paraguay",2013,0.834756314478833,4699.49371391186,610000,63.1027015405961,60.197
"160","Paraguay",2014,0.864029477268519,4861.28709880236,649000,63.1169353100132,60.474
"161","Uruguay",1995,1.42390939251263,8045.94664390039,2022000,41.0661835465106,90.542
"162","Uruguay",1996,1.67575901934513,8434.31941239346,2152000,37.567917917326,90.835
"163","Uruguay",1997,1.69884599059864,9091.47428503196,2316000,37.6764861371949,91.147
